date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:47	111/111	---MCZ	200	added ('OK')	text/plain	date:Wed,%2021%20Jan%202026%2021:09:47%20GMT	http://caseybuilt.local/robots.txt		(from )
21:09:48	243843/243843	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jan%202026%2021:09:47%20GMT	http://caseybuilt.local/	C:/My%20Web%20Sites/casey/caseybuilt.local/index.html	(from )
21:09:48	7462/7462	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2269713fa7-1d26%22	http://caseybuilt.local/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from http://caseybuilt.local/)
21:09:49	1114/1114	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222706eafa3b870045e6a3afc81d0e292f%22	http://caseybuilt.local/feed/	C:/My%20Web%20Sites/casey/caseybuilt.local/feed/index.html	(from http://caseybuilt.local/)
21:09:49	2205/2205	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Jan%202026%2021:09:49%20GMT	http://caseybuilt.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcaseybuilt.local%2F	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-json/oembed/1.0/embed672b.json	(from http://caseybuilt.local/)
21:09:50	2640/2640	---MCZ	200	added ('OK')	text/xml	date:Wed,%2021%20Jan%202026%2021:09:50%20GMT	http://caseybuilt.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcaseybuilt.local%2F&format=xml	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-json/oembed/1.0/embed89b3	(from http://caseybuilt.local/)
21:09:50	1008/1008	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222706eafa3b870045e6a3afc81d0e292f%22	http://caseybuilt.local/comments/feed/	C:/My%20Web%20Sites/casey/caseybuilt.local/comments/feed/index.html	(from http://caseybuilt.local/)
21:09:50	62755/62755	---M-Z	200	added ('OK')	text/css	etag:%22pub1769029557;gz%22	http://caseybuilt.local/wp-content/cache/minify/f9395.css	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/f9395.css	(from http://caseybuilt.local/)
21:09:50	16880/16880	---M-Z	200	added ('OK')	text/css	etag:%22pub1769029489;gz%22	http://caseybuilt.local/wp-content/cache/minify/9e5e0.css	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/9e5e0.css	(from http://caseybuilt.local/)
21:09:50	65734/65734	---M-Z	200	added ('OK')	text/css	etag:%22pub1769029557;gz%22	http://caseybuilt.local/wp-content/cache/minify/fffb7.css	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/fffb7.css	(from http://caseybuilt.local/)
